CPF/CNPJ,Endereço Completo,Latitude,Longitude
,"Rua BENEDITO FERNANDES, 270, Santo Amaro, São Paulo, São Paulo",-23.6610006,-46.7093906
,"Avenida RUDGE, 500, Bom Retiro, São Paulo, São Paulo",-23.523624,-46.6500239
,"Rua PADRE ADELINO, 685, Belém, São Paulo, São Paulo",-23.5439803,-46.5838146
,"Avenida CASSIANO RICARDO, 1993, Jardim Alvorada, São José dos Campos, São Paulo",-23.2280037,-45.9124721
,"Rodovia RAPOSO TAVARES, 23033, Granja Viana, Cotia, São Paulo",-23.5996855,-46.8473029
,"Avenida ENGENHEIRO GEORGE CORBISIER, 273, Jabaquara, São Paulo, São Paulo",-23.6392403,-46.6419503
,"Rua Benedito Egídio Barbosa, 11, Vila Brasilândia, São Paulo, São Paulo",-23.4598445,-46.6986945
,"Avenida CARLOS LIVIERO, 942, Vila Liviero, São Paulo, São Paulo",-23.6463226,-46.5955091
,"Avenida AFONSO PENA, 336, Macuco, Santos, São Paulo",-23.9671384,-46.3076691
,"Rua CARLOS OLIVEIRA RODRIGUES, 101, Jardim Josane, Sorocaba, São Paulo",-23.4520305,-47.3701706
,"Avenida PREF. JORGE FRANCISCO CORREIA ALLEN, 575, Centro, Poá, São Paulo",-23.52806,-46.34472
,"Rua Paim, 201, Bela Vista, São Paulo, São Paulo",-23.5544616,-46.6500849
,"Rua OSVALDO RAMOS, 100, Parque Mikail, Guarulhos, São Paulo",-23.46278,-46.53333
,"Estrada DO COPIUVA, 1985, Vila da Oportunidade, Carapicuíba, São Paulo",-23.5539916,-46.8262051
,"Rodovia ENGENHEIRO RENE BENEDITO DA SILVA, 668, SAO JOAO, Itapevi, São Paulo",-23.54889,-46.93417
